method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.11834725939262707,0.5094444444444444,0.34421697577324956,0.3730694816148493,0.0,1.0
BM25 keyword,0.12403186299309063,0.522888888888889,0.3538112618707896,0.3854763074375351,0.0,1.0
Dense original,0.12220833726570283,0.509888888888889,0.3579017941230752,0.37715278171014727,0.0,1.0
Dense keyword,0.11888256392477968,0.49716666666666676,0.3499771588017766,0.367465897258113,0.0,1.0
Hybrid original,0.13054903097439563,0.5304444444444444,0.3636016502800924,0.36577125319661785,0.03,2.0
Hybrid keyword,0.13306211542345148,0.5361666666666667,0.36822167343301243,0.3711454487567848,0.03,2.0
Train-best retrieval action,0.12220833726570283,0.509888888888889,0.3579017941230752,0.37715278171014727,0.0,1.0
Heuristic retrieval router,0.12914746325821336,0.5209444444444445,0.35231372476151857,0.3896196854804356,0.0,1.0
Selective retrieval policy,0.1356779292095004,0.5428333333333333,0.3722254638103688,0.4070945958761671,0.0,1.0
Confidence-gated retrieval policy,0.1356779292095004,0.5428333333333333,0.3722254638103688,0.4070945958761671,0.0,1.0
Oracle retrieval action,0.15665732853009304,0.6161666666666668,0.4386963459059314,0.4641406618634263,0.0006,1.02
